DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
09/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001225;RESERVA CULTURAL 3;27;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
09/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5004898;CINE BELAS ARTES SALA 03;9;6000029;27912;27914;BELO HORIZONTE;MG;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
10/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001225;RESERVA CULTURAL 3;18;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
10/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5004898;CINE BELAS ARTES SALA 03;14;6000029;27912;27914;BELO HORIZONTE;MG;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
11/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001225;RESERVA CULTURAL 3;17;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
11/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5004898;CINE BELAS ARTES SALA 03;3;6000029;27912;27914;BELO HORIZONTE;MG;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
12/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5004898;CINE BELAS ARTES SALA 03;1;6000029;27912;27914;BELO HORIZONTE;MG;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
12/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001792;SALADEARTE CINEMAM;12;6000052;5722;5694;SALVADOR;BA;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
13/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001225;RESERVA CULTURAL 3;23;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
13/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5004898;CINE BELAS ARTES SALA 03;2;6000029;27912;27914;BELO HORIZONTE;MG;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
